1 7 1864 yesterday = 1 today = 4, day mismatch
1 6 1865 yesterday = 2 today = 1, day mismatch
1 7 1865 yesterday = 2 today = 5, day mismatch
1 6 1866 yesterday = 3 today = 2, day mismatch
1 7 1866 yesterday = 3 today = 6, day mismatch
1 6 1867 yesterday = 4 today = 3, day mismatch
1 7 1867 yesterday = 4 today = 7, day mismatch
1 6 1868 yesterday = 6 today = 5, day mismatch
1 7 1868 yesterday = 6 today = 2, day mismatch
1 6 1869 yesterday = 7 today = 6, day mismatch
1 7 1869 yesterday = 7 today = 3, day mismatch
1 6 1870 yesterday = 1 today = 7, day mismatch
1 7 1870 yesterday = 1 today = 4, day mismatch
1 6 1871 yesterday = 2 today = 1, day mismatch
1 7 1871 yesterday = 2 today = 5, day mismatch
1 6 1872 yesterday = 4 today = 3, day mismatch
1 7 1872 yesterday = 4 today = 7, day mismatch
1 6 1873 yesterday = 5 today = 4, day mismatch
1 7 1873 yesterday = 5 today = 1, day mismatch
1 6 1874 yesterday = 6 today = 5, day mismatch
1 7 1874 yesterday = 6 today = 2, day mismatch
1 6 1875 yesterday = 7 today = 6, day mismatch
1 7 1875 yesterday = 7 today = 3, day mismatch
1 6 1876 yesterday = 2 today = 1, day mismatch
1 7 1876 yesterday = 2 today = 5, day mismatch
1 6 1877 yesterday = 3 today = 2, day mismatch
1 7 1877 yesterday = 3 today = 6, day mismatch
1 6 1878 yesterday = 4 today = 3, day mismatch
1 7 1878 yesterday = 4 today = 7, day mismatch
1 6 1879 yesterday = 5 today = 4, day mismatch
1 7 1879 yesterday = 5 today = 1, day mismatch
1 6 1880 yesterday = 7 today = 6, day mismatch
1 7 1880 yesterday = 7 today = 3, day mismatch
1 6 1881 yesterday = 1 today = 7, day mismatch
1 7 1881 yesterday = 1 today = 4, day mismatch
1 6 1882 yesterday = 2 today = 1, day mismatch
1 7 1882 yesterday = 2 today = 5, day mismatch
1 6 1883 yesterday = 3 today = 2, day mismatch
1 7 1883 yesterday = 3 today = 6, day mismatch
1 6 1884 yesterday = 5 today = 4, day mismatch
1 7 1884 yesterday = 5 today = 1, day mismatch
1 6 1885 yesterday = 6 today = 5, day mismatch
